company,is_profitable,has_high_debt,has_strong_cash_flow,has_good_management,has_regulatory_issues,recommend_buy
Phi Media,0.241,0.546,0.375,0.55,0.249,0
Alpha Industries,0.983,0.596,0.518,0.993,0.087,1
Beta Innovations,0.919,0.511,0.571,0.572,0.02,0
Vortex Systems,0.233,0.811,0.092,0.4,0.263,0
Mu Labs,0.826,0.69,0.576,0.908,0.193,0
Zeta Industries 944,0.771,0.348,0.817,0.417,0.247,0
Quantum Industries,0.305,0.041,0.54,0.15,0.175,0
Nexus Group,0.753,0.575,0.09,0.432,0.356,0
Delta Partners 409,0.263,0.399,0.434,0.698,0.228,0
Luminous Enterprises 575,0.616,0.736,0.246,0.072,0.277,0
Aero Holdings 375,0.348,0.321,0.594,0.024,0.116,0
Nu Ventures,0.156,0.728,0.086,0.74,0.045,0
Tau Corp,0.343,0.804,0.305,0.471,0.054,0
Rho Partners 495,0.623,0.992,0.695,0.668,0.119,0
Echo Innovations 55,0.465,0.945,0.067,0.66,0.305,0
Quantum Systems,0.98,0.509,0.71,0.904,0.104,0
Cyber Partners,0.926,0.021,0.247,0.529,0.086,1
Psi Ventures 641,0.302,0.996,0.979,0.276,0.018,0
Beta Partners,0.949,0.226,0.342,0.393,0.021,0
Omicron Holdings 247,0.573,0.426,0.312,0.605,0.183,0
Nu Logistics,0.309,0.705,0.524,0.135,0.312,0
Aether Partners 972,0.719,0.184,0.84,0.146,0.008,1
Upsilon Group 764,0.934,0.894,0.933,0.274,0.38,0
Echo Media 274,0.606,0.612,0.596,0.231,0.012,0
Titan Labs,0.712,0.374,0.852,0.491,0.045,1
Alpha Innovations 974,0.413,0.742,0.988,0.758,0.006,0
Apex Networks 888,0.458,0.247,0.405,0.042,0.238,0
Luminous Media,0.536,0.641,0.704,0.039,0.024,0
Pi Studios,0.538,0.984,0.039,0.387,0.239,0
Tau Group 171,0.422,0.613,0.055,0.517,0.018,0
Theta Solutions,0.779,0.938,0.696,0.135,0.102,0
Nu Group 93,0.25,0.692,0.907,0.796,0.327,0
Omega Tech 537,0.707,0.727,0.975,0.612,0.032,0
Chi Capital 893,0.66,0.15,0.869,0.179,0.217,1
Nova Global,0.626,0.118,0.132,0.203,0.218,0
Pinnacle Corp,0.608,0.493,0.217,0.659,0.116,0
Aether Innovations 635,0.629,0.82,0.208,0.185,0.014,0
Luminous Media 306,0.331,0.088,0.109,0.994,0.046,0
Luminous Partners 182,0.966,0.749,0.36,0.036,0.273,0
Stellar Partners 67,0.293,0.135,0.695,0.274,0.127,0
Eta Capital,0.73,0.629,0.987,0.484,0.088,0
Titan Networks,0.26,0.575,0.623,0.927,0.161,0
Mu Media 239,0.709,0.979,0.002,0.024,0.278,0
Aero Holdings 47,0.334,0.56,0.638,0.011,0.058,0
Zenith Partners,0.324,0.006,0.686,0.341,0.18,0
Chi Networks,0.922,0.479,0.475,0.036,0.049,0
Chi Group,0.784,0.414,0.743,0.835,0.049,1
Xi Capital 702,0.332,0.916,0.796,0.066,0.018,0
Pinnacle Solutions 585,0.606,0.187,0.117,0.782,0.039,0
Zeta Labs 899,0.238,0.452,0.951,0.216,0.125,0
Zeta Group 519,0.025,0.483,0.5,0.19,0.269,0
Kappa Startup,0.822,0.938,0.677,0.133,0.214,0
Alpha Global,0.932,0.687,0.594,0.087,0.257,0
Upsilon Corp,0.578,0.312,0.892,0.321,0.056,0
Theta Innovations 153,0.157,0.114,0.958,0.56,0.02,0
Tau Capital,0.245,0.071,0.613,0.339,0.181,0
Eta Dynamics 56,0.086,0.392,0.705,0.891,0.132,0
Chi Enterprises 731,0.758,0.809,0.079,0.923,0.209,0
Cyber Startup 467,0.31,0.644,0.766,0.471,0.516,0
Omega Dynamics,0.183,0.917,0.33,0.861,0.074,0
Synapse Group,0.846,0.282,0.349,0.575,0.139,0
Aether Tech,0.792,0.533,0.401,0.413,0.154,0
Chi Enterprises 834,0.694,0.431,0.98,0.567,0.06,1
Luminous Labs,0.114,0.596,0.325,0.098,0.134,0
Titan Dynamics,0.327,0.645,0.061,0.218,0.026,0
Kappa Logistics 464,0.531,0.39,0.578,0.196,0.228,0
Upsilon Holdings,0.718,0.915,0.99,0.583,0.157,0
Delta Ventures 923,0.549,0.053,0.703,0.821,0.046,1
Vortex Dynamics,0.625,0.712,0.406,0.435,0.074,0
Omega Holdings 158,0.288,0.873,0.126,0.012,0.275,0
Iota Tech,0.137,0.806,0.86,0.894,0.202,0
Quantum Ventures,0.226,0.425,0.007,0.498,0.163,0
Luminous Ventures 35,0.978,0.568,0.705,0.113,0.091,0
Sigma Group,0.517,0.523,0.61,0.245,0.137,0
Pinnacle Capital,0.312,0.053,0.344,0.779,0.111,0
Aero Ventures 984,0.978,0.295,0.168,0.695,0.194,0
Synapse Capital 174,0.573,0.656,0.292,0.737,0.006,0
Sigma Innovations,0.133,0.281,0.858,0.014,0.038,0
Nova Ventures 828,0.175,0.783,0.236,0.181,0.316,0
Titan Logistics 858,0.496,0.994,0.77,0.238,0.088,0
Psi Industries,0.642,0.755,0.116,0.168,0.119,0
Pinnacle Systems,0.38,0.706,0.475,0.145,0.641,0
Phi Studios 700,0.956,0.097,0.531,0.354,0.243,0
Sigma Innovations 822,0.098,0.654,0.391,0.773,0.165,0
Chi Solutions,0.313,0.011,0.008,0.068,0.093,0
Tau Innovations,0.193,0.024,0.092,0.939,0.111,0
Theta Tech,0.856,0.13,0.656,0.9,0.112,1
Epsilon Group,0.923,0.276,0.427,0.903,0.273,1
Delta Dynamics 398,0.333,0.06,0.956,0.265,0.105,0
Mu Labs 112,0.144,0.769,0.218,0.643,0.264,0
Luminous Innovations 796,0.446,0.897,0.149,0.64,0.301,0
Nexus Capital 4,0.515,0.94,0.491,0.436,0.196,0
Alpha Dynamics,0.954,0.818,0.482,0.567,0.399,0
Zeta Ventures,0.535,0.961,0.08,0.46,0.192,0
Quantum Enterprises 307,0.696,0.896,0.631,0.359,0.015,0
Nu Corp,0.72,0.593,0.489,0.063,0.169,0
Nova Corp,0.037,0.056,0.788,0.043,0.015,0
Pinnacle Logistics,0.741,0.233,0.072,0.735,0.333,0
Pi Logistics,0.014,0.633,0.905,0.821,0.017,0
Eta Startup 510,0.595,0.616,0.063,0.203,0.046,0
Theta Capital 559,0.137,0.836,0.793,0.764,0.184,0
Aero Solutions,0.696,0.553,0.439,0.926,0.017,0
Lambda Corp 901,0.487,0.006,0.179,0.089,0.116,0
Xi Logistics,0.64,0.523,0.412,0.938,0.357,0
Zeta Global 357,0.419,0.558,0.192,0.987,0.39,0
Zenith Systems,0.464,0.626,0.208,0.053,0.041,0
Apex Solutions,0.16,0.923,0.054,0.364,0.063,0
Cyber Industries 107,0.74,0.925,0.176,0.785,0.207,0
Vortex Capital 334,0.419,0.747,0.898,0.23,0.034,0
Nu Dynamics,0.891,0.074,0.585,0.054,0.15,0
Omega Logistics 469,0.72,0.632,0.976,0.202,0.02,0
Cyber Group,0.418,0.76,0.22,0.295,0.021,0
Luminous Partners 876,0.23,0.412,0.522,0.862,0.048,0
Stellar Systems,0.248,0.434,0.222,0.927,0.21,0
Gamma Industries,0.991,0.733,0.504,0.426,0.058,0
Apex Systems 86,0.558,0.012,0.732,0.95,0.037,1
Synapse Global 166,0.703,0.858,0.747,0.024,0.075,0
Omega Group,0.704,0.001,0.627,0.385,0.184,1
Echo Partners,0.575,0.207,0.685,0.62,0.178,0
Gamma Ventures 376,0.175,0.559,0.067,0.709,0.083,0
Vortex Enterprises 772,0.745,0.225,0.353,0.267,0.239,0
Apex Studios,0.527,0.123,0.71,0.678,0.17,0
Epsilon Enterprises 914,0.884,0.087,0.391,0.179,0.593,0
Kappa Labs 155,0.875,0.521,0.627,0.293,0.398,0
Nova Corp 299,0.189,0.022,0.802,0.835,0.155,0
Phi Labs 608,0.666,0.53,0.548,0.458,0.097,0
Tau Industries 152,0.353,0.456,0.166,0.924,0.253,0
Kappa Solutions,0.238,0.041,0.317,0.126,0.09,0
Phi Ventures 152,0.373,0.54,0.163,0.302,0.365,0
Cyber Networks,0.156,0.97,0.546,0.507,0.218,0
Luminous Logistics 819,0.565,0.907,0.442,0.689,0.197,0
Omicron Group,0.357,0.326,0.608,0.195,0.089,0
Zeta Partners 870,0.445,0.672,0.087,0.512,0.053,0
Omega Dynamics 152,0.716,0.428,0.386,0.012,0.1,0
Xi Group,0.742,0.416,0.443,0.164,0.112,0
Vortex Media,0.086,0.208,0.475,0.868,0.676,0
Zeta Corp,0.409,0.914,0.415,0.556,0.145,0
Quantum Global,0.554,0.042,0.826,0.835,0.063,0
Alpha Logistics,0.263,0.956,0.834,0.473,0.177,0
Theta Innovations 505,0.994,0.067,0.746,0.581,0.082,1
Theta Ventures,0.513,0.575,0.845,0.163,0.015,0
Lambda Industries 280,0.361,0.636,0.955,0.049,0.054,0
Mu Startup 614,0.753,0.544,0.872,0.827,0.234,0
Eta Partners,0.58,0.823,0.013,0.518,0.087,0
Eta Enterprises,0.155,0.221,0.188,0.897,0.1,0
Aether Startup,0.417,0.916,0.117,0.131,0.004,0
Nova Media 536,0.764,0.342,0.71,0.029,0.338,0
Omicron Global,0.125,0.13,0.079,0.691,0.411,0
Gamma Enterprises 111,0.033,0.66,0.593,0.469,0.573,0
Eta Startup 943,0.602,0.588,0.2,0.671,0.011,0
Vortex Ventures,0.352,0.855,0.781,0.613,0.251,0
Vanguard Enterprises,0.716,0.964,0.172,0.754,0.001,0
Synapse Ventures 715,0.589,0.44,0.958,0.181,0.094,0
Theta Networks,0.124,0.11,0.136,0.762,0.184,0
Theta Dynamics 291,0.457,0.736,0.687,0.841,0.055,0
Epsilon Labs,0.939,0.367,0.013,0.674,0.204,1
Theta Logistics 405,0.401,0.591,0.102,0.925,0.65,0
Titan Dynamics 126,0.233,0.425,0.499,0.765,0.204,0
Nexus Ventures 488,0.667,0.95,0.988,0.511,0.033,0
Omicron Logistics,0.03,0.738,0.83,0.498,0.009,0
Upsilon Media,0.623,0.76,0.661,0.52,0.124,0
Zenith Innovations,0.542,0.809,0.541,0.018,0.36,0
Nova Group 37,0.033,0.557,0.86,0.303,0.199,0
Apex Startup 583,0.675,0.66,0.685,0.572,0.067,0
Apex Capital,0.971,0.617,0.353,0.978,0.043,1
Beta Networks,0.381,0.428,0.992,0.412,0.017,0
Zeta Tech,0.869,0.114,0.17,0.538,0.006,1
Aero Innovations 21,0.696,0.588,0.986,0.378,0.082,0
Xi Networks,0.497,0.811,0.667,0.167,0.056,0
Pinnacle Enterprises 295,0.265,0.297,0.574,0.805,0.15,0
Luminous Studios,0.475,0.21,0.796,0.652,0.043,0
Nu Holdings 412,0.251,0.515,0.672,0.548,0.263,0
Apex Enterprises 677,0.962,0.742,0.467,0.937,0.115,0
Luminous Industries 535,0.201,0.462,0.24,0.746,0.142,0
Epsilon Enterprises 867,0.412,0.824,0.646,0.256,0.173,0
Pi Global 476,0.485,0.991,0.422,0.906,0.059,0
Sigma Partners 181,0.644,0.042,0.722,0.782,0.015,1
Omega Tech 407,0.943,0.724,0.141,0.112,0.135,0
Rho Labs 906,0.09,0.6,0.773,0.313,0.202,0
Stellar Enterprises,0.144,0.175,0.97,0.439,0.049,0
Theta Networks 559,0.424,0.683,0.963,0.879,0.4,0
Beta Media 36,0.841,0.662,0.941,0.691,0.314,0
Omega Startup 548,0.867,0.858,0.388,0.91,0.177,0
Xi Solutions,0.916,0.631,0.879,0.767,0.242,0
Apex Labs,0.737,0.926,0.333,0.422,0.51,0
Epsilon Ventures,0.421,0.729,0.548,0.327,0.139,0
Nova Logistics,0.003,0.2,0.306,0.576,0.033,0
Iota Media 703,0.41,0.939,0.451,0.874,0.046,0
Tau Enterprises,0.084,0.368,0.393,0.377,0.247,0
Aether Media 642,0.229,0.089,0.462,0.262,0.505,0
Kappa Tech,0.958,0.17,0.567,0.014,0.09,1
Apex Startup 230,0.714,0.191,0.862,0.782,0.064,1
Titan Enterprises 844,0.283,0.677,0.418,0.409,0.041,0
Pi Ventures,0.583,0.647,0.086,0.469,0.388,0
Titan Innovations 75,0.095,0.059,0.333,0.235,0.406,0
Nexus Ventures 136,0.968,0.56,0.58,0.26,0.056,0
Phi Studios 444,0.142,0.117,0.044,0.128,0.193,0
Tau Innovations 628,0.83,0.927,0.517,0.436,0.025,0
Aether Group 55,0.189,0.055,0.183,0.47,0.036,0
Apex Industries 453,0.357,0.709,0.485,0.493,0.444,0
Lambda Studios,0.823,0.563,0.663,0.212,0.886,0
Epsilon Systems 787,0.498,0.094,0.329,0.284,0.606,0
Eta Networks 158,0.029,0.46,0.708,0.48,0.216,0
Gamma Media,0.951,0.325,0.732,0.734,0.365,0
Tau Networks,0.798,0.744,0.547,0.602,0.027,0
Nexus Tech,0.021,0.208,0.389,0.402,0.217,0
Upsilon Media 135,0.359,0.096,0.367,0.2,0.121,0
Zeta Holdings 831,0.368,0.186,0.631,0.093,0.105,0
Vanguard Studios,0.084,0.468,0.079,0.802,0.087,0
Luminous Industries 565,0.077,0.045,0.108,0.425,0.016,0
Rho Capital 84,0.769,0.016,0.741,0.463,0.257,1
Cyber Group 639,0.808,0.341,0.918,0.81,0.097,1
Eta Holdings 548,0.018,0.395,0.013,0.656,0.123,0
Apex Global,0.618,0.974,0.361,0.674,0.213,0
Alpha Enterprises 115,0.816,0.696,0.188,0.027,0.192,0
Pinnacle Enterprises 89,0.301,0.463,0.474,0.022,0.06,0
Synapse Corp,0.86,0.585,0.201,0.569,0.231,0
Apex Capital 611,0.731,0.999,0.037,0.4,0.094,0
Apex Systems 732,0.061,0.019,0.576,0.553,0.048,0
Echo Ventures 460,0.698,0.021,0.288,0.192,0.112,0
Chi Media,0.853,0.715,0.468,0.883,0.23,0
Omega Labs 819,0.971,0.162,0.207,0.691,0.018,1
Apex Startup 813,0.416,0.994,0.304,0.209,0.035,0
Lambda Solutions,0.828,0.894,0.032,0.064,0.088,0
Rho Networks,0.785,0.769,0.77,0.557,0.201,0
Eta Industries 949,0.946,0.799,0.963,0.756,0.325,0
Eta Partners 43,0.507,0.167,0.118,0.205,0.061,0
Apex Startup 158,0.647,0.335,0.138,0.849,0.115,0
Synapse Networks 294,0.505,0.085,0.372,0.755,0.066,1
Aero Systems,0.138,0.429,0.918,0.898,0.373,0
Nova Logistics 789,0.01,0.806,0.944,0.085,0.158,0
Kappa Capital,0.058,0.632,0.713,0.66,0.164,0
Aether Global,0.722,0.314,0.344,0.827,0.284,0
Xi Partners 640,0.788,0.652,0.697,0.888,0.257,0
Gamma Partners 343,0.39,0.719,0.88,0.52,0.194,0
Chi Solutions 24,0.028,0.797,0.593,0.241,0.177,0
Delta Ventures 266,0.627,0.354,0.048,0.651,0.034,0
Pi Capital 580,0.715,0.938,0.666,0.844,0.066,0
Luminous Logistics 732,0.378,0.738,0.105,0.516,0.027,0
Stellar Holdings,0.082,0.062,0.889,0.476,0.124,0
Vanguard Dynamics,0.872,0.584,0.636,0.997,0.207,0
Apex Group 133,0.968,0.513,0.529,0.694,0.101,0
Aero Startup 124,0.37,0.29,0.523,0.118,0.079,0
Kappa Logistics 803,0.59,0.049,0.894,0.889,0.029,1
Psi Tech 892,0.045,0.481,0.31,0.452,0.089,0
Iota Logistics,0.505,0.461,0.45,0.449,0.339,0
Aero Dynamics,0.233,0.395,0.541,0.958,0.239,0
Beta Capital,0.63,0.772,0.309,0.645,0.313,0
Delta Capital,0.522,0.751,0.503,0.019,0.171,0
Xi Systems,0.83,0.839,0.58,0.085,0.164,0
Beta Networks 448,0.181,0.024,0.528,0.382,0.025,0
Kappa Global,0.952,0.679,0.059,0.961,0.029,0
Kappa Holdings 915,0.324,0.376,0.828,0.121,0.03,0
Zenith Dynamics 973,0.115,0.061,0.465,0.407,0.13,0
Sigma Partners 987,0.586,0.102,0.763,0.652,0.024,1
Zenith Enterprises,0.783,0.142,0.54,0.168,0.02,1
Gamma Corp 833,0.465,0.829,0.289,0.972,0.0,0
Psi Enterprises,0.585,0.51,0.045,0.739,0.18,0
Iota Partners,0.999,0.878,0.211,0.505,0.141,0
Nova Innovations 252,0.662,0.322,0.211,0.959,0.118,1
Apex Dynamics,0.538,0.787,0.649,0.078,0.004,0
Psi Dynamics,0.827,0.358,0.177,0.768,0.539,0
Nova Corp 227,0.743,0.758,0.681,0.709,0.025,0
Omicron Systems,0.98,0.967,0.037,0.493,0.328,0
Lambda Partners,0.194,0.739,0.672,0.603,0.033,0
Luminous Systems 903,0.523,0.782,0.192,0.678,0.424,0
Aether Group 3,0.938,0.641,0.943,0.052,0.379,0
Vanguard Group 508,0.361,0.759,0.884,0.225,0.068,0
Nu Networks,0.082,0.572,0.025,0.737,0.458,0
Lambda Networks 319,0.063,0.625,0.028,0.432,0.003,0
Pi Startup 485,0.238,0.341,0.054,0.334,0.212,0
Vortex Startup,0.086,0.061,0.033,0.313,0.478,0
Nova Industries,0.301,0.626,0.066,0.678,0.18,0
Aero Systems 886,0.6,0.66,0.011,0.384,0.14,0
Beta Group 530,0.328,0.192,0.103,0.595,0.009,0
Zenith Innovations 364,0.421,0.725,0.445,0.243,0.443,0
Psi Global 598,0.885,0.775,0.147,0.309,0.091,0
Kappa Industries 244,0.507,0.835,0.859,0.422,0.065,0
Chi Enterprises 684,0.476,0.692,0.467,0.692,0.259,0
Chi Solutions 108,0.454,0.789,0.042,0.219,0.001,0
Pi Labs,0.735,0.953,0.332,0.74,0.07,0
Epsilon Ventures 31,0.555,0.142,0.44,0.631,0.371,0
Tau Solutions,0.219,0.262,0.174,0.848,0.083,0
Eta Corp 852,0.677,0.379,0.787,0.111,0.42,0
Lambda Studios 819,0.998,0.882,0.878,0.065,0.013,0
Quantum Ventures 326,0.6,0.977,0.245,0.046,0.237,0
Phi Systems,0.053,0.796,0.873,0.852,0.608,0
Epsilon Solutions,0.509,0.751,0.645,0.509,0.126,0
Synapse Labs 486,0.268,0.401,0.921,0.584,0.011,0
Nexus Enterprises 314,0.425,0.377,0.157,0.842,0.115,0
Vanguard Ventures 236,0.584,0.465,0.621,0.426,0.125,0
Quantum Corp,0.18,0.234,0.645,0.359,0.01,0
Sigma Systems 101,0.119,0.36,0.546,0.334,0.245,0
Sigma Enterprises,0.706,0.998,0.998,0.752,0.263,0
Nexus Dynamics,0.822,0.758,0.012,0.654,0.252,0
Xi Labs,0.234,0.587,0.553,0.469,0.296,0
Stellar Holdings 215,0.439,0.853,0.03,0.139,0.352,0
Psi Networks,0.225,0.426,0.753,0.763,0.237,0
Gamma Logistics,0.154,0.953,0.33,0.63,0.138,0
Xi Dynamics,0.064,0.386,0.475,0.329,0.351,0
Aether Solutions,0.032,0.689,0.489,0.187,0.021,0
Delta Ventures 531,0.011,0.327,0.91,0.391,0.633,0
Quantum Enterprises 134,0.87,0.31,0.818,0.665,0.03,1
Cyber Innovations 207,0.007,0.143,0.064,0.399,0.242,0
Cyber Group 590,0.039,0.091,0.646,0.919,0.046,0
Mu Holdings 256,0.18,0.618,0.432,0.385,0.14,0
Gamma Systems 907,0.871,0.274,0.628,0.292,0.273,0
Apex Holdings,0.992,0.553,0.995,0.077,0.015,1
Rho Enterprises 519,0.045,0.027,0.639,0.676,0.133,0
Gamma Corp 257,0.115,0.917,0.327,0.749,0.241,0
Nova Logistics 483,0.82,0.842,0.171,0.018,0.028,0
Epsilon Corp,0.677,0.153,0.358,0.217,0.005,0
Vanguard Startup 400,0.69,0.444,0.598,0.049,0.13,0
Nu Tech,0.016,0.028,0.015,0.821,0.359,0
Lambda Solutions 46,0.416,0.108,0.327,0.562,0.062,0
Theta Systems 219,0.106,0.323,0.015,0.654,0.004,0
Sigma Media 378,0.044,0.885,0.411,0.768,0.082,0
Rho Startup,0.6,0.981,0.696,0.678,0.353,0
Phi Labs 70,0.335,0.609,0.585,0.382,0.234,0
Omicron Corp,0.616,0.897,0.309,0.738,0.194,0
Tau Enterprises 156,0.376,0.642,0.238,0.725,0.491,0
Phi Industries,0.521,0.978,0.648,0.288,0.003,0
Pinnacle Industries,0.907,0.665,0.248,0.687,0.18,0
Nova Corp 67,0.87,0.07,0.192,0.634,0.046,1
Xi Systems 520,0.078,0.725,0.311,0.722,0.086,0
Nova Enterprises 279,0.862,0.481,0.951,0.36,0.09,1
Stellar Logistics 840,0.954,0.482,0.762,0.427,0.016,0
Quantum Group,0.306,0.283,0.562,0.481,0.056,0
Alpha Corp,0.862,0.73,0.374,0.405,0.11,0
Upsilon Capital,0.071,0.885,0.992,0.124,0.482,0
Psi Studios,0.709,0.635,0.368,0.058,0.097,0
Omega Corp,0.697,0.645,0.261,0.455,0.247,0
Lambda Corp 120,0.771,0.644,0.917,0.398,0.078,0
Stellar Solutions 850,0.427,0.692,0.501,0.533,0.279,0
Zeta Startup 652,0.573,0.798,0.814,0.269,0.032,0
Lambda Labs 2,0.097,0.774,0.418,0.417,0.069,0
Iota Enterprises 499,0.182,0.948,0.451,0.814,0.094,0
Rho Holdings,0.441,0.913,0.109,0.636,0.035,0
Beta Capital 241,0.478,0.673,0.101,0.061,0.59,0
Eta Enterprises 535,0.792,0.376,0.52,0.962,0.059,1
Chi Ventures,0.682,0.343,0.315,0.24,0.093,0
Chi Startup 4,0.457,0.698,0.725,0.888,0.025,0
Pi Ventures 463,0.618,0.659,0.475,0.413,0.048,0
